n_p,iter_p,seed,final_loss,test_accuracy,n_stagnation_episodes,total_stagnant_steps,longest_episode,duration_sec,n_candidate_evals
10,10,4,0.06339924037456512,0.9850000143051147,0,0,0,1.9695699214935303,2000
10,50,0,0.09912701696157455,0.9700000286102295,0,0,0,1.3902370929718018,400
10,50,1,0.08597078174352646,0.9449999928474426,0,0,0,1.4206786155700684,400
10,50,2,0.11234168708324432,0.9700000286102295,0,0,0,1.3012299537658691,400
10,50,3,0.08274558186531067,0.9800000190734863,0,0,0,1.3507637977600098,400
10,50,4,0.07074977457523346,0.9850000143051147,0,0,0,1.4654266834259033,400
10,100,0,0.10555294156074524,0.9700000286102295,0,0,0,1.3364441394805908,200
10,100,1,0.08895022422075272,0.9399999976158142,0,0,0,1.3345634937286377,200
10,100,2,0.10944169014692307,0.9750000238418579,0,0,0,1.4620106220245361,200
10,100,3,0.08355582505464554,0.9800000190734863,0,0,0,1.3843555450439453,200
10,100,4,0.07064902037382126,0.9850000143051147,0,0,0,1.2593755722045898,200
20,5,0,0.08327677100896835,0.9800000190734863,0,0,0,3.923919677734375,8000
20,5,1,0.0737171396613121,0.9549999833106995,0,0,0,4.021395921707153,8000
20,5,2,0.08029666543006897,0.9800000190734863,0,0,0,3.883018732070923,8000
20,5,3,0.07079416513442993,0.9800000190734863,0,0,0,4.214268445968628,8000
20,5,4,0.06001409515738487,0.9800000190734863,0,0,0,3.9278652667999268,8000
20,10,0,0.0857047289609909,0.9800000190734863,0,0,0,2.7783541679382324,4000
20,10,1,0.07704745978116989,0.949999988079071,0,0,0,2.6868975162506104,4000
20,10,2,0.08085140585899353,0.9800000190734863,0,0,0,2.6813459396362305,4000
20,10,3,0.07174482941627502,0.9750000238418579,0,0,0,2.545193672180176,4000
20,10,4,0.06184961274266243,0.9800000190734863,0,0,0,2.5139942169189453,4000
20,50,0,0.09428118914365768,0.9700000286102295,0,0,0,1.556908369064331,800
20,50,1,0.08383527398109436,0.9449999928474426,0,0,0,1.5093677043914795,800
20,50,2,0.09666384011507034,0.9800000190734863,0,0,0,1.4953114986419678,800
20,50,3,0.07959318161010742,0.9800000190734863,0,0,0,1.4696528911590576,800
20,50,4,0.06907765567302704,0.9850000143051147,0,0,0,1.4497969150543213,800
20,100,0,0.10110405832529068,0.9700000286102295,0,0,0,1.3491055965423584,400
20,100,1,0.08862342685461044,0.9399999976158142,0,0,0,1.3477611541748047,400
