method,seed,step,train_loss,test_rmse,grad_norm
adam,0,1200,0.5966049432754517,0.9625250697135925,0.0002801326336339116
adam,0,1230,0.5965195298194885,0.9622986912727356,0.0002696183801162988
adam,0,1260,0.5964431762695312,0.9620962738990784,0.00025928349350579083
adam,0,1290,0.5963739156723022,0.9619174003601074,0.0002492055937182158
adam,0,1320,0.596310555934906,0.9617606997489929,0.00023944934946484864
adam,0,1350,0.5962518453598022,0.961624801158905,0.0002300546912010759
adam,0,1380,0.5961967706680298,0.9615075588226318,0.00022102802176959813
adam,0,1410,0.5961443185806274,0.961406409740448,0.00021233251027297229
adam,0,1440,0.596094012260437,0.9613184928894043,0.00020387704716995358
adam,0,1470,0.5960456132888794,0.9612411260604858,0.00019554750178940594
adam,0,1500,0.5959991812705994,0.9611729979515076,0.00018727983115240932
rpgd,0,1,1.2693010568618774,1.121812343597412,0.00024409159959759563
rpgd,0,30,1.269283652305603,1.121812343597412,0.00024917334667406976
rpgd,0,60,1.2692630290985107,1.1218117475509644,0.00027768060681410134
rpgd,0,90,1.2692269086837769,1.1218065023422241,0.0003894854162354022
rpgd,0,120,1.26915442943573,1.12179434299469,0.0005661174072884023
rpgd,0,150,1.2689909934997559,1.1217496395111084,0.0008773882873356342
rpgd,0,180,1.2685785293579102,1.1216099262237549,0.0014197698328644037
rpgd,0,210,1.267504096031189,1.1212517023086548,0.002329947892576456
rpgd,0,240,1.2647197246551514,1.1202312707901,0.003802455263212323
rpgd,0,270,1.2572468519210815,1.1174299716949463,0.006181017030030489
rpgd,0,300,1.2385998964309692,1.1103001832962036,0.009524393826723099
rpgd,0,330,1.1997357606887817,1.0952967405319214,0.012874376960098743
rpgd,0,360,1.1425482034683228,1.0736315250396729,0.014091424643993378
rpgd,0,390,1.0840169191360474,1.052735447883606,0.013492855243384838
rpgd,0,420,1.0296887159347534,1.0347857475280762,0.013211827725172043
rpgd,0,450,0.9775835871696472,1.0179178714752197,0.012676171958446503
rpgd,0,480,0.9326140284538269,1.0033801794052124,0.011337337084114552
rpgd,0,510,0.8977083563804626,0.992045521736145,0.009884580969810486
rpgd,0,540,0.8705520033836365,0.9831993579864502,0.008802002295851707
rpgd,0,570,0.848391592502594,0.9758251905441284,0.008051630109548569
rpgd,0,600,0.8293269276618958,0.9695409536361694,0.007527399808168411
rpgd,0,630,0.8123744130134583,0.9640846252441406,0.007146824151277542
rpgd,0,660,0.796902596950531,0.9595153331756592,0.006852685008198023
rpgd,0,690,0.7825490832328796,0.9556253552436829,0.0066074831411242485
rpgd,0,720,0.7691851854324341,0.9523882269859314,0.006357206497341394
rpgd,0,750,0.7568615674972534,0.949794590473175,0.006070518866181374
rpgd,0,780,0.7456768751144409,0.9478113055229187,0.005747749004513025
rpgd,0,810,0.7356691360473633,0.9463589787483215,0.0054100267589092255
rpgd,0,840,0.7267851233482361,0.945326566696167,0.005080518778413534
rpgd,0,870,0.7189109921455383,0.9446028470993042,0.004773647524416447
rpgd,0,900,0.7119128704071045,0.9440973997116089,0.004494571126997471
rpgd,0,930,0.7056639790534973,0.9437475800514221,0.0042428732849657536
rpgd,0,960,0.7000547051429749,0.9435129761695862,0.004015852231532335
rpgd,0,990,0.6949937343597412,0.9433687329292297,0.0038103279657661915
rpgd,0,1020,0.6904057860374451,0.9432991147041321,0.0036233807913959026
rpgd,0,1050,0.6862289309501648,0.9432932138442993,0.003452557371929288
rpgd,0,1080,0.6824114322662354,0.9433425068855286,0.00329584744758904
rpgd,0,1110,0.6789097785949707,0.9434399008750916,0.0031516000162810087
rpgd,0,1140,0.675687313079834,0.9435788989067078,0.0030184341594576836
rpgd,0,1170,0.6727125644683838,0.9437536597251892,0.0028951733838766813
rpgd,0,1200,0.6699586510658264,0.9439585208892822,0.002780796494334936
rpgd,0,1230,0.6674023270606995,0.9441887140274048,0.002674408722668886
rpgd,0,1260,0.6650233864784241,0.944439709186554,0.002575222635641694
rpgd,0,1290,0.662804365158081,0.9447075724601746,0.0024825416039675474
rpgd,0,1320,0.6607299447059631,0.9449889659881592,0.0023957507219165564
rpgd,0,1350,0.6587868332862854,0.9452809691429138,0.0023143072612583637
rpgd,0,1380,0.6569631099700928,0.9455809593200684,0.00223773205652833
rpgd,0,1410,0.6552483439445496,0.9458867907524109,0.0021656027529388666
rpgd,0,1440,0.6536333560943604,0.9461967349052429,0.002097546122968197
rpgd,0,1470,0.6521099209785461,0.9465091824531555,0.002033232944086194
rpgd,0,1500,0.65067058801651,0.9468229413032532,0.001972371945157647
spgd,0,1,1.2693010568618774,1.121812343597412,0.00024409159959759563
spgd,0,30,1.269283652305603,1.121812343597412,0.00024917334667406976
spgd,0,60,1.2692371606826782,1.1218109130859375,0.00039191305404528975
spgd,0,90,1.2691534757614136,1.1217981576919556,0.0005705333896912634
spgd,0,120,1.268977403640747,1.1217602491378784,0.0008546807803213596
spgd,0,150,1.2685970067977905,1.1216636896133423,0.0013243942521512508
spgd,0,180,1.2676140069961548,1.1213380098342896,0.002165690530091524
spgd,0,210,1.2649954557418823,1.1204475164413452,0.0035802251659333706
spgd,0,240,1.258259892463684,1.1179441213607788,0.005813192576169968
spgd,0,270,1.2414239645004272,1.1115527153015137,0.009030725806951523
spgd,0,300,1.2053554058074951,1.0977063179016113,0.012504447251558304
spgd,0,330,1.1486034393310547,1.0761348009109497,0.014236888848245144
spgd,0,360,1.0868806838989258,1.0539199113845825,0.013993682339787483
spgd,0,390,1.0280683040618896,1.034547209739685,0.013636521063745022
spgd,0,420,0.9732230305671692,1.0172417163848877,0.012849456630647182
spgd,0,450,0.9271197319030762,1.0029655694961548,0.011413398198783398
spgd,0,480,0.891099214553833,0.9919964671134949,0.010065487585961819
spgd,0,510,0.8622969388961792,0.983204185962677,0.009147877804934978
spgd,0,540,0.8377191424369812,0.9755497574806213,0.008527015335857868
spgd,0,570,0.8162482976913452,0.9692112803459167,0.008017241023480892
spgd,0,600,0.7971038818359375,0.9638996124267578,0.007533859461545944
spgd,0,630,0.7801697850227356,0.959489107131958,0.007047863677144051
spgd,0,660,0.7653902173042297,0.9559119343757629,0.006555840838700533
spgd,0,690,0.7525837421417236,0.9530968070030212,0.006102836225181818
spgd,0,720,0.7414333820343018,0.9509187340736389,0.005694728810340166
spgd,0,750,0.7316385507583618,0.9492577910423279,0.005335276946425438
spgd,0,780,0.7229747176170349,0.9480077028274536,0.005013674963265657
